X,Y,x,sqx,xy,te
27.6,0,-549.6,302060.16000000003,0,19373.0028467388
28.2,0,-549,301401,0,19332.417183876656
28.8,0,-548.4000000000001,300742.5600000001,0,19291.87585270525
29.4,0,-547.8000000000001,300084.8400000001,0,19251.378853224563
30,0,-547.2,299427.84,0,19210.926185434608
30.6,0,-546.6,298771.56,0,19170.517849335378
31.2,0,-546,298116,0,19130.15384492688
31.8,732.9,-545.4000000000001,297461.1600000001,-399723.66000000003,19089.834172209117
32.4,0.1,-544.8000000000001,296807.0400000001,-54.48000000000001,19049.55883118208
33,0.1,-544.2,296153.6400000001,-54.42000000000001,19009.327821845764
33.6,3022.6,-543.6,295500.96,-1643085.36,18969.14114420018
34.2,1699.6,-543,294849,-922882.7999999999,18928.998798245324
34.8,2688.9,-542.4000000000001,294197.7600000001,-1458459.3600000003,18888.900783981207
35.4,0,-541.8000000000001,293547.24000000005,0,18848.847101407806
36,0,-541.2,292897.44000000006,0,18808.837750525137
36.6,3122.4,-540.6,292248.36000000004,-1687969.4400000002,18768.8727313332
37.2,1793.7,-540,291600,-968598,18728.952043831985
37.8,2894.4,-539.4000000000001,290952.3600000001,-1561239.3600000003,18689.07568802151
38.4,1398.2,-538.8000000000001,290305.44000000006,-753350.1600000001,18649.243663901754
39,1398.2,-538.2,289659.24000000005,-752511.2400000001,18609.45597147273
39.6,0,-537.6,289013.76,0,18569.71261073443
40.2,0,-537,288369,0,18530.013581686864
40.8,0,-536.4000000000001,287724.9600000001,0,18490.35888433003
41.4,0,-535.8000000000001,287081.6400000001,0,18450.74851866392
42,0,-535.2,286439.04000000004,0,18411.18248468854
42.6,0,-534.6,285797.16000000003,0,18371.660782403887
43.2,3121.9,-534,285156,-1667094.6,18332.18341180996
43.8,3121.9,-533.4000000000001,284515.5600000001,-1665221.4600000004,18292.750372906772
44.4,1750.9,-532.8000000000001,283875.8400000001,-932879.5200000001,18253.361665694305
45,1750.9,-532.2,283236.84,-931828.9800000001,18214.017290172567
45.6,0,-531.6,282598.56,0,18174.717246341555
46.2,0,-531,281961,0,18135.461534201277
46.8,694.6,-530.4000000000001,281324.1600000001,-368415.8400000001,18096.25015375173
47.4,0,-529.8000000000001,280688.0400000001,0,18057.083104992907
48,0,-529.2,280052.6400000001,0,18017.960387924813
48.6,0,-528.6,279417.96,0,17978.882002547445
49.2,0,-528,278784,0,17939.84794886081
49.8,0,-527.4000000000001,278150.76000000007,0,17900.858226864908
50.4,0,-526.8000000000001,277518.24000000005,0,17861.912836559728
51,0.1,-526.2,276886.44000000006,-52.620000000000005,17823.011777945278
51.6,0,-525.6,276255.36000000004,0,17784.155051021557
52.2,928.6,-525,275625,-487515,17745.34265578856
52.8,928.6,-524.4000000000001,274995.3600000001,-486957.8400000001,17706.574592246303
53.4,0,-523.8000000000001,274366.44000000006,0,17667.850860394767
54,1133.7,-523.2,273738.24000000005,-593151.8400000001,17629.17146023396
54.6,134.5,-522.6,273110.76,-70289.7,17590.53639176388
55.2,3147.6,-522,272484,-1643047.2,17551.945654984527
55.8,3147.6,-521.4000000000001,271857.9600000001,-1641158.6400000001,17513.399249895912
56.4,2376.7,-520.8000000000001,271232.6400000001,-1237785.36,17474.897176498023
57,1961.6,-520.2,270608.04000000004,-1020424.3200000001,17436.439434790856
57.6,0.1,-519.6,269984.16000000003,-51.96000000000001,17398.026024774423
58.2,0,-519,269361,0,17359.656946448715
58.8,0.1,-518.4000000000001,268738.5600000001,-51.84000000000001,17321.332199813747
59.4,0.1,-517.8000000000001,268116.8400000001,-51.78000000000001,17283.051784869498
60,0,-517.2,267495.84,0,17244.815701615975
60.6,0,-516.6,266875.56,0,17206.62395005318
61.2,0,-516,266256,0,17168.47653018112
61.8,0,-515.4000000000001,265637.1600000001,0,17130.373441999793
62.4,0,-514.8000000000001,265019.0400000001,0,17092.31468550919
63,0.1,-514.2,264401.6400000001,-51.42000000000001,17054.300260709315
63.6,0,-513.6,263784.96,0,17016.330167600165
64.2,43.2,-513,263169,-22161.600000000002,16978.404406181744
64.8,3081.5,-512.4000000000001,262553.76000000007,-1578960.6000000003,16940.52297645406
65.4,465.7,-511.80000000000007,261939.24000000008,-238345.26000000004,16902.685878417098
66,1391.1,-511.20000000000005,261325.44000000006,-711130.3200000001,16864.893112070866
66.6,2965.1,-510.6,260712.36000000002,-1513980.06,16827.14467741536
67.2,1.1,-510.00000000000006,260100.00000000006,-561.0000000000001,16789.44057445059
67.8,0,-509.40000000000003,259488.36000000004,0,16751.78080317654
68.4,0,-508.80000000000007,258877.44000000006,0,16714.165363593227
69,0,-508.20000000000005,258267.24000000005,0,16676.59425570064
69.6,0.1,-507.6,257657.76,-50.760000000000005,16639.067479498775
70.2,0,-507.00000000000006,257049.00000000006,0,16601.585034987645
70.8,0,-506.40000000000003,256440.96000000002,0,16564.14692216724
71.4,1974.2,-505.80000000000007,255833.64000000007,-998550.3600000001,16526.75314103757
